"ID","class","species","level","Nit_total","Nit_pred","Nit_prey","Mean.int","SD.int","Nint.at.risk_Direct","Nint.at.risk_Direct.as.pred","Nint.at.risk_Direct.as.prey","Nint.at.risk_Indirect","Nint.at.risk_Indirect.as.pred","Nint.at.risk_Indirect.as.prey","AOO","direct.effect.area","cascading.effect.area","direct.effect.prop","cascading.effect.prop","ID.1"
1,"Birds","Acrocephalus agricola","Basal",2623,0,2623,8.1,1.1,0,0,0,0,0,0,323,0,0,0,0,217
2,"Birds","Acrocephalus arundinaceus","Basal",21971,0,21971,7.8,1.6,255,0,255,179,0,179,2824,37,152,1.3,5.4,218
3,"Birds","Acrocephalus dumetorum","Basal",7352,0,7352,7,1,30,0,30,0,0,0,1045,4,0,0.4,0,219
4,"Birds","Acrocephalus melanopogon","Basal",3581,0,3581,5.3,1.5,16,0,16,32,0,32,674,3,24,0.4,3.6,220
5,"Birds","Acrocephalus paludicola","Basal",710,0,710,5.5,0.8,4,0,4,0,0,0,129,1,0,0.8,0,221
6,"Birds","Acrocephalus palustris","Basal",14535,0,14535,5.7,1.3,483,0,483,66,0,66,2564,84,57,3.3,2.2,222
7,"Birds","Acrocephalus schoenobaenus","Basal",23943,0,23943,6.6,2.2,49,0,49,193,0,193,3614,8,143,0.2,4,223
8,"Birds","Acrocephalus scirpaceus","Basal",20404,0,20404,7.2,1.8,64,0,64,281,0,281,2825,10,208,0.4,7.4,224
9,"Birds","Actitis hypoleucos","Basal",40613,0,40613,10.1,2.1,88,0,88,46,0,46,4018,10,28,0.2,0.7,225
10,"Birds","Aegithalos caudatus","Basal",25353,0,25353,6.8,1.7,16,0,16,520,0,520,3741,3,477,0.1,12.8,226
11,"Birds","Alauda arvensis","Basal",104592,0,104592,24,5.6,1220,0,1220,981,0,981,4361,54,432,1.2,9.9,229
12,"Birds","Alcedo atthis","Basal",5702,0,5702,1.8,0.7,0,0,0,4,0,4,3160,0,4,0,0.1,232
13,"Birds","Alectoris barbara","Basal",75,0,75,3.4,1.2,0,0,0,0,0,0,22,0,0,0,0,233
14,"Birds","Alectoris chukar","Basal",1718,0,1718,9.7,5.4,8,0,8,5,0,5,178,1,4,0.6,2.2,234
15,"Birds","Alectoris graeca","Basal",3475,0,3475,10.2,2.9,0,0,0,55,0,55,340,0,34,0,10,235
16,"Birds","Alectoris rufa","Basal",4489,0,4489,7.3,2.8,111,0,111,178,0,178,619,23,160,3.7,25.8,236
17,"Birds","Anas acuta","Basal",29648,0,29648,9.9,2.6,0,0,0,175,0,175,2998,0,113,0,3.8,237
18,"Birds","Anas crecca","Basal",49164,0,49164,11.5,3,0,0,0,404,0,404,4270,0,193,0,4.5,238
19,"Birds","Anas platyrhynchos","Basal",41973,0,41973,9.7,2.7,0,0,0,237,0,237,4314,0,154,0,3.6,239
20,"Birds","Anser albifrons","Basal",2761,0,2761,4.7,1.9,0,0,0,8,0,8,587,0,4,0,0.7,240
21,"Birds","Anser anser","Basal",11093,0,11093,5.3,1.6,16,0,16,14,0,14,2096,4,9,0.2,0.4,241
22,"Birds","Anser brachyrhynchus","Basal",231,0,231,2.7,0.5,0,0,0,6,0,6,85,0,3,0,3.5,242
23,"Birds","Anser erythropus","Basal",3968,0,3968,6.2,1.4,20,0,20,0,0,0,641,5,0,0.8,0,243
24,"Birds","Anser fabalis","Basal",6913,0,6913,5.9,2,36,0,36,0,0,0,1171,10,0,0.9,0,244
25,"Birds","Anthropoides virgo","Basal",1215,0,1215,2.9,0.3,0,0,0,0,0,0,413,0,0,0,0,245
26,"Birds","Anthus campestris","Basal",54201,0,54201,25.2,4,1043,0,1043,483,0,483,2153,46,253,2.1,11.8,246
27,"Birds","Anthus cervinus","Basal",4529,0,4529,15.1,2.7,276,0,276,0,0,0,299,15,0,5,0,247
28,"Birds","Anthus hodgsoni","Basal",2547,0,2547,18.9,2.5,0,0,0,0,0,0,135,0,0,0,0,249
29,"Birds","Anthus petrosus","Basal",11327,0,11327,17,4.2,164,0,164,139,0,139,667,8,59,1.2,8.8,250
30,"Birds","Anthus pratensis","Basal",82453,0,82453,21.5,5.3,1039,0,1039,964,0,964,3836,48,422,1.3,11,251
31,"Birds","Anthus spinoletta","Basal",29424,0,29424,22.1,4.7,1455,0,1455,770,0,770,1331,71,355,5.3,26.7,252
32,"Birds","Anthus trivialis","Basal",84891,0,84891,23.1,4.6,1651,0,1651,704,0,704,3672,76,330,2.1,9,253
33,"Birds","Apus apus","Basal",11287,0,11287,2.7,0.5,394,0,394,67,0,67,4259,136,67,3.2,1.6,255
34,"Birds","Apus pallidus","Basal",454,0,454,1.1,0.3,7,0,7,0,0,0,401,7,0,1.7,0,257
35,"Birds","Arenaria interpres","Basal",6774,0,6774,8.7,3.1,44,0,44,6,0,6,779,5,5,0.6,0.6,267
36,"Birds","Aythya ferina","Basal",38459,0,38459,10.9,2.9,0,0,0,292,0,292,3539,0,159,0,4.5,271
37,"Birds","Aythya fuligula","Basal",35066,0,35066,9.6,2.8,0,0,0,260,0,260,3637,0,154,0,4.2,272
38,"Birds","Aythya marila","Basal",10882,0,10882,8.7,2.8,0,0,0,42,0,42,1245,0,22,0,1.8,273
39,"Birds","Aythya nyroca","Basal",18391,0,18391,10.3,2.1,38,0,38,63,0,63,1785,4,59,0.2,3.3,274
40,"Birds","Bombycilla garrulus","Basal",20149,0,20149,6.4,1.9,29,0,29,159,0,159,3124,5,153,0.2,4.9,275
41,"Birds","Bonasa bonasia","Basal",21096,0,21096,9.2,1.8,9489,0,9489,0,0,0,2303,1123,0,48.8,0,276
42,"Birds","Branta bernicla","Basal",1269,0,1269,3.6,1.8,3,0,3,19,0,19,356,1,9,0.3,2.5,278
43,"Birds","Branta leucopsis","Basal",785,0,785,4.5,2.4,0,0,0,16,0,16,173,0,6,0,3.5,280
44,"Birds","Bucanetes githagineus","Basal",265,0,265,15.6,2,0,0,0,4,0,4,17,0,3,0,17.6,285
