ID;GBIF_Maiorano;Species_maiorano;gbif_Grilo;Species_grilo;class;order;family
252;5219362;Genetta genetta;5219362;Genetta genetta;Mammalia;Carnivora;Viverridae
273;5218484;Pipistrellus savii;7261861;Hypsugo savii;Mammalia;Chiroptera;Vespertilionidae
402;0;NA;8181305;Myotis escalerai;Mammalia;Chiroptera;Vespertilionidae
628;0;NA;12228118;Vespertilio murinus;Mammalia;Chiroptera;Vespertilionidae
81;2432582;Barbastella barbastellus;2432582;Barbastella barbastellus;Mammalia;Chiroptera;Vespertilionidae
212;2432346;Eptesicus bottae;2432346;Eptesicus bottae;Mammalia;Chiroptera;Vespertilionidae
213;7261816;Eptesicus nilssonii;7261816;Eptesicus nilssonii;Mammalia;Chiroptera;Vespertilionidae
214;2432359;Eptesicus serotinus;2432359;Eptesicus serotinus;Mammalia;Chiroptera;Vespertilionidae
393;4266346;Myotis alcathoe;4266346;Myotis alcathoe;Mammalia;Chiroptera;Vespertilionidae
394;4409308;Myotis aurascens;4409308;Myotis aurascens;Mammalia;Chiroptera;Vespertilionidae
395;2432427;Myotis bechsteinii;2432427;Myotis bechsteinii;Mammalia;Chiroptera;Vespertilionidae
396;2432414;Myotis blythii;2432414;Myotis blythii;Mammalia;Chiroptera;Vespertilionidae
397;7261875;Myotis brandtii;7261875;Myotis brandtii;Mammalia;Chiroptera;Vespertilionidae
398;2432430;Myotis capaccinii;2432430;Myotis capaccinii;Mammalia;Chiroptera;Vespertilionidae
399;2432452;Myotis dasycneme;2432452;Myotis dasycneme;Mammalia;Chiroptera;Vespertilionidae
400;2432439;Myotis daubentonii;2432439;Myotis daubentonii;Mammalia;Chiroptera;Vespertilionidae
401;2432470;Myotis emarginatus;2432470;Myotis emarginatus;Mammalia;Chiroptera;Vespertilionidae
403;2432416;Myotis myotis;2432416;Myotis myotis;Mammalia;Chiroptera;Vespertilionidae
404;9754263;Myotis mystacinus;9754263;Myotis mystacinus;Mammalia;Chiroptera;Vespertilionidae
405;2432389;Myotis nattereri;2432389;Myotis nattereri;Mammalia;Chiroptera;Vespertilionidae
406;4266337;Myotis punicus;4266337;Myotis punicus;Mammalia;Chiroptera;Vespertilionidae
415;5218525;Nyctalus lasiopterus;5218525;Nyctalus lasiopterus;Mammalia;Chiroptera;Vespertilionidae
416;5218522;Nyctalus leisleri;5218522;Nyctalus leisleri;Mammalia;Chiroptera;Vespertilionidae
417;5218524;Nyctalus noctula;5218524;Nyctalus noctula;Mammalia;Chiroptera;Vespertilionidae
469;5218464;Pipistrellus kuhlii;5218464;Pipistrellus kuhlii;Mammalia;Chiroptera;Vespertilionidae
470;5218471;Pipistrellus nathusii;5218471;Pipistrellus nathusii;Mammalia;Chiroptera;Vespertilionidae
471;5218465;Pipistrellus pipistrellus;5218465;Pipistrellus pipistrellus;Mammalia;Chiroptera;Vespertilionidae
472;5707150;Pipistrellus pygmaeus;5707150;Pipistrellus pygmaeus;Mammalia;Chiroptera;Vespertilionidae
474;5218507;Plecotus auritus;5218507;Plecotus auritus;Mammalia;Chiroptera;Vespertilionidae
475;5739437;Plecotus austriacus;5739437;Plecotus austriacus;Mammalia;Chiroptera;Vespertilionidae
476;5739445;Plecotus kolombatovici;5739445;Plecotus kolombatovici;Mammalia;Chiroptera;Vespertilionidae
477;5787719;Plecotus macrobullaris;5787719;Plecotus macrobullaris;Mammalia;Chiroptera;Vespertilionidae
478;5739436;Plecotus sardus;5739436;Plecotus sardus;Mammalia;Chiroptera;Vespertilionidae
622;2433433;Ursus arctos;2433433;Ursus arctos;Mammalia;Carnivora;Ursidae
623;2433451;Ursus maritimus;2433451;Ursus maritimus;Mammalia;Carnivora;Ursidae
621;2498415;Upupa epops;2498415;Upupa epops;Aves;Bucerotiformes;Upupidae
620;2497921;Tyto alba;2497921;Tyto alba;Aves;Strigiformes;Tytonidae
614;2490781;Turdus iliacus;2490781;Turdus iliacus;Aves;Passeriformes;Turdidae
615;2490719;Turdus merula;2490719;Turdus merula;Aves;Passeriformes;Turdidae
616;7901064;Turdus philomelos;7901064;Turdus philomelos;Aves;Passeriformes;Turdidae
617;2490737;Turdus pilaris;2490737;Turdus pilaris;Aves;Passeriformes;Turdidae
618;7865305;Turdus torquatus;7865305;Turdus torquatus;Aves;Passeriformes;Turdidae
619;2490774;Turdus viscivorus;2490774;Turdus viscivorus;Aves;Passeriformes;Turdidae
613;5231438;Troglodytes troglodytes;5231438;Troglodytes troglodytes;Aves;Passeriformes;Troglodytidae
606;2484918;Tichodroma muraria;2484918;Tichodroma muraria;Aves;Passeriformes;Tichodromidae
473;2480801;Platalea leucorodia;2480801;Platalea leucorodia;Aves;Pelecaniformes;Threskiornithidae
480;2480773;Plegadis falcinellus;2480773;Plegadis falcinellus;Aves;Pelecaniformes;Threskiornithidae
185;2436117;Desmana moschata;2436117;Desmana moschata;Mammalia;Soricomorpha;Talpidae
243;5219516;Galemys pyrenaicus;5219516;Galemys pyrenaicus;Mammalia;Soricomorpha;Talpidae
595;8347063;Talpa caeca;8347063;Talpa caeca;Mammalia;Soricomorpha;Talpidae
596;7872906;Talpa europaea;7872906;Talpa europaea;Mammalia;Soricomorpha;Talpidae
597;2436131;Talpa levantis;2436131;Talpa levantis;Mammalia;Soricomorpha;Talpidae
598;2436152;Talpa occidentalis;2436152;Talpa occidentalis;Mammalia;Soricomorpha;Talpidae
599;2436140;Talpa romana;2436140;Talpa romana;Mammalia;Soricomorpha;Talpidae
600;2436128;Talpa stankovici;2436128;Talpa stankovici;Mammalia;Soricomorpha;Talpidae
581;0;NA;7342065;Sylvia crassirostris;Aves;Passeriformes;Sylviidae
576;2492956;Sylvia atricapilla;2492956;Sylvia atricapilla;Aves;Passeriformes;Sylviidae
577;2492942;Sylvia borin;2492942;Sylvia borin;Aves;Passeriformes;Sylviidae
578;2492950;Sylvia cantillans;2492950;Sylvia cantillans;Aves;Passeriformes;Sylviidae
579;2492943;Sylvia communis;2492943;Sylvia communis;Aves;Passeriformes;Sylviidae
580;2492959;Sylvia conspicillata;2492959;Sylvia conspicillata;Aves;Passeriformes;Sylviidae
582;2492960;Sylvia curruca;2492960;Sylvia curruca;Aves;Passeriformes;Sylviidae
