"","grid","START top","START intermediate","START basal","AFTER PRIMMARY EXTINCTIONS top","AFTER PRIMMARY EXTINCTIONS intermediate","AFTER PRIMMARY EXTINCTIONS basal","AFTER SECONDARY EXTINCTIONS top","AFTER SECONDARY EXTINCTIONS intermediate","AFTER SECONDARY EXTINCTIONS basal","FUTURE AFTER PRIMMARY EXTINCTIONS top","FUTURE AFTER PRIMMARY EXTINCTIONS intermediate","FUTURE AFTER PRIMMARY EXTINCTIONS basal","FUTURE AFTER SECONDARY EXTINCTIONS top","FUTURE AFTER SECONDARY EXTINCTIONS intermediate","FUTURE AFTER SECONDARY EXTINCTIONS basal"
"1","1863",2,44,108,2,44,108,2,44,108,2,44,108,2,44,108
"2","1887",5,66,143,5,62,136,5,60,136,5,62,135,5,60,135
"3","136",1,6,24,1,6,24,1,6,24,1,6,24,1,6,24
"4","4138",5,61,145,5,61,140,5,61,140,5,60,138,5,60,138
"5","3564",7,65,139,7,65,139,7,65,139,7,65,139,7,65,139
"6","2736",1,59,147,1,59,143,1,59,143,1,59,142,1,59,142
"7","2218",5,64,137,5,64,135,5,64,135,5,64,135,5,64,135
"8","1163",6,63,144,6,63,143,6,63,143,6,63,143,6,63,143
"9","1655",4,37,98,4,37,98,4,37,98,4,37,98,4,37,98
"10","510",6,45,98,6,45,98,6,45,98,6,45,98,6,45,98
"11","2392",6,65,149,6,65,149,6,65,149,6,65,148,6,65,148
"12","4211",NA,21,31,NA,21,31,NA,21,31,NA,21,31,NA,21,31
"13","2939",5,66,98,5,66,98,5,66,98,5,66,98,5,66,98
"14","560",6,49,105,6,49,105,6,49,105,6,49,105,6,49,105
"15","3612",2,68,150,2,68,148,2,66,148,2,68,146,2,66,146
"16","1287",5,66,140,5,66,138,5,66,138,5,66,138,5,66,138
"17","1448",4,45,95,4,45,95,4,45,95,4,45,95,4,45,95
"18","1980",6,61,147,6,61,146,6,61,146,6,61,146,6,61,146
"19","2673",6,69,146,6,69,144,6,68,144,6,69,144,6,68,144
"20","4394",1,53,134,1,53,134,1,53,134,1,53,133,1,53,133
"21","2681",5,64,151,5,64,151,5,64,151,5,64,150,5,64,150
"22","1685",5,63,138,5,63,138,5,63,138,5,63,138,5,63,138
"23","2099",6,65,142,6,65,141,6,65,141,6,65,141,6,65,141
"24","2857",5,62,102,5,62,102,5,62,102,5,62,102,5,62,102
"25","2335",5,65,149,5,65,146,5,65,146,5,65,145,5,65,145
"26","4600",NA,17,25,NA,17,25,NA,17,25,NA,17,25,NA,17,25
"27","4571",2,50,122,2,50,120,2,50,120,2,50,120,2,50,120
"28","1599",3,48,136,3,48,136,3,48,136,3,48,135,3,48,135
"29","997",6,49,115,6,49,112,6,49,112,6,49,112,6,49,112
"30","3367",6,70,162,6,70,152,6,69,152,6,70,151,6,68,151
"31","3116",2,59,139,2,56,112,2,55,112,2,53,108,2,52,108
"32","3935",2,63,154,2,62,144,2,60,144,2,61,142,2,59,142
"33","4026",3,63,152,2,60,133,2,59,133,1,58,125,1,57,125
"34","3770",5,53,133,5,53,127,5,53,127,5,52,126,5,52,126
"35","2092",6,59,153,6,59,151,6,59,151,6,59,151,6,59,151
"36","4022",2,56,131,1,53,114,1,53,114,NA,52,110,NA,52,110
"37","148",1,2,8,1,2,8,1,2,8,1,2,8,1,2,8
"38","231",1,7,30,1,7,30,1,7,30,1,7,30,1,7,30
"39","1669",1,36,89,1,36,89,1,36,89,1,36,89,1,36,89
"40","3456",3,64,140,3,63,134,3,63,134,3,63,132,3,63,132
"41","2739",1,57,142,1,57,137,1,57,137,1,56,137,1,56,137
"42","3804",1,52,133,NA,48,103,NA,47,103,NA,45,96,NA,44,96
"43","852",6,51,116,6,51,116,6,51,116,6,51,116,6,51,116
"44","4415",1,64,140,1,64,138,1,63,138,1,63,137,1,62,137
"45","3180",1,52,135,1,51,122,1,51,122,1,51,115,1,51,115
"46","2957",1,51,130,1,38,70,1,36,70,1,31,60,1,29,60
"47","3582",1,58,142,NA,54,121,NA,54,121,NA,54,118,NA,53,118
"48","1170",5,47,114,5,47,110,5,47,110,5,46,110,5,46,110
"49","2226",NA,26,79,NA,26,79,NA,26,79,NA,26,79,NA,26,79
"50","621",6,51,129,6,51,129,6,51,129,6,51,129,6,51,129
"51","4355",3,54,142,3,50,111,3,49,111,3,50,107,3,48,107
"52","1885",5,64,139,5,63,135,5,62,135,5,63,133,5,62,133
"53","3811",4,63,162,2,48,86,2,46,86,2,45,78,2,43,78
"54","3913",5,62,159,5,59,145,5,59,145,5,58,142,5,58,142
"55","4009",3,46,122,3,43,93,3,43,93,3,41,92,3,41,92
"56","4131",4,61,135,4,59,126,4,59,126,3,58,123,3,58,123
"57","2074",4,65,143,4,64,139,4,63,139,4,64,137,4,63,137
"58","493",6,37,85,6,37,85,6,37,85,6,37,85,6,37,85
"59","4361",5,64,162,5,64,157,5,63,157,5,63,155,5,62,155
"60","3027",NA,41,131,NA,41,131,NA,41,131,NA,41,131,NA,41,131
"61","1258",5,57,130,5,57,130,5,57,130,5,57,130,5,57,130
"62","1156",6,63,136,6,63,135,6,63,135,6,63,134,6,63,134
"63","3856",1,58,143,NA,52,106,NA,51,106,NA,46,102,NA,45,102
"64","4555",2,49,115,2,49,114,2,49,114,2,49,114,2,49,114
"65","624",2,16,46,2,16,46,2,16,46,2,16,46,2,16,46
"66","2320",5,68,150,5,67,145,5,66,145,5,67,144,5,66,144
"67","573",6,51,127,6,51,127,6,51,127,6,51,127,6,51,127
"68","306",3,19,60,3,19,60,3,19,60,3,19,60,3,19,60
"69","239",5,30,77,5,30,77,5,30,77,5,30,77,5,30,77
"70","3748",4,57,121,4,57,121,4,57,121,4,57,121,4,57,121
"71","1333",5,60,135,5,60,135,5,60,135,5,60,135,5,60,135
"72","1307",4,40,86,4,40,86,4,40,86,4,40,86,4,40,86
"73","3152",4,68,118,4,68,115,4,67,115,4,68,114,4,67,114
"74","240",5,32,81,5,32,81,5,32,81,5,32,81,5,32,81
"75","1608",5,63,136,5,63,136,5,63,136,5,63,136,5,63,136
"76","2477",NA,35,91,NA,35,90,NA,35,90,NA,35,90,NA,35,90
"77","233",4,12,54,4,12,54,4,12,54,4,12,54,4,12,54
"78","2069",4,64,142,4,63,137,4,62,137,4,63,136,4,62,136
