"","grid","START top","START intermediate","START basal","AFTER PRIMMARY EXTINCTIONS top","AFTER PRIMMARY EXTINCTIONS intermediate","AFTER PRIMMARY EXTINCTIONS basal","AFTER SECONDARY EXTINCTIONS top","AFTER SECONDARY EXTINCTIONS intermediate","AFTER SECONDARY EXTINCTIONS basal","FUTURE AFTER PRIMMARY EXTINCTIONS top","FUTURE AFTER PRIMMARY EXTINCTIONS intermediate","FUTURE AFTER PRIMMARY EXTINCTIONS basal","FUTURE AFTER SECONDARY EXTINCTIONS top","FUTURE AFTER SECONDARY EXTINCTIONS intermediate","FUTURE AFTER SECONDARY EXTINCTIONS basal"
"1","1863",2,42,110,2,42,110,2,42,110,2,42,110,2,42,110
"2","1887",5,62,147,5,59,139,5,57,139,5,59,138,5,57,138
"3","136",1,6,24,1,6,24,1,6,24,1,6,24,1,6,24
"4","4138",5,60,146,5,60,141,5,60,141,5,59,139,5,59,139
"5","3564",7,64,140,7,64,140,7,64,140,7,64,140,7,64,140
"6","2736",1,58,148,1,58,144,1,58,144,1,58,143,1,58,143
"7","2218",5,62,139,5,62,137,5,62,137,5,62,137,5,62,137
"8","1163",6,62,145,6,62,144,6,62,144,6,62,144,6,62,144
"9","1655",4,35,100,4,35,100,4,35,100,4,35,100,4,35,100
"10","510",6,43,100,6,43,100,6,43,100,6,43,100,6,43,100
"11","2392",6,63,151,6,63,151,6,63,151,6,63,150,6,63,150
"12","4211",NA,20,32,NA,20,32,NA,20,32,NA,20,32,NA,20,32
"13","2939",5,65,99,5,65,99,5,65,99,5,65,99,5,65,99
"14","560",6,47,107,6,47,107,6,47,107,6,47,107,6,47,107
"15","3612",2,66,152,2,66,150,2,64,150,2,66,148,2,64,148
"16","1287",5,63,143,5,63,141,5,63,141,5,63,141,5,63,141
"17","1448",4,44,96,4,44,96,4,44,96,4,44,96,4,44,96
"18","1980",6,60,148,6,60,147,6,60,147,6,60,147,6,60,147
"19","2673",6,67,148,6,67,146,6,66,146,6,67,146,6,66,146
"20","4394",1,50,137,1,50,137,1,50,137,1,50,136,1,50,136
"21","2681",5,62,153,5,62,153,5,62,153,5,62,152,5,62,152
"22","1685",5,61,140,5,61,140,5,61,140,5,61,140,5,61,140
"23","2099",6,64,143,6,64,142,6,64,142,6,64,142,6,64,142
"24","2857",5,60,104,5,60,104,5,60,104,5,60,104,5,60,104
"25","2335",5,64,150,5,64,147,5,64,147,5,64,146,5,64,146
"26","4600",NA,17,25,NA,17,25,NA,17,25,NA,17,25,NA,17,25
"27","4571",2,49,123,2,49,121,2,49,121,2,49,121,2,49,121
"28","1599",3,47,137,3,47,137,3,47,137,3,47,136,3,47,136
"29","997",6,47,117,6,47,114,6,47,114,6,47,114,6,47,114
"30","3367",6,68,164,6,68,154,6,67,154,6,68,153,6,67,152
"31","3116",2,58,140,2,56,112,2,55,112,2,53,108,2,52,108
"32","3935",2,61,156,2,60,146,2,59,145,2,59,144,2,58,143
"33","4026",3,61,154,2,59,134,2,58,134,1,57,126,1,56,126
"34","3770",5,52,134,5,52,128,5,52,128,5,51,127,5,51,127
"35","2092",6,59,153,6,59,151,6,59,151,6,59,151,6,59,151
"36","4022",2,54,133,1,52,115,1,52,115,NA,51,111,NA,51,111
"37","148",1,2,8,1,2,8,1,2,8,1,2,8,1,2,8
"38","231",1,7,30,1,7,30,1,7,30,1,7,30,1,7,30
"39","1669",1,36,89,1,36,89,1,36,89,1,36,89,1,36,89
"40","3456",3,61,143,3,60,137,3,60,137,3,60,135,3,60,135
"41","2739",1,56,143,1,56,138,1,56,138,1,55,138,1,55,138
"42","3804",1,51,134,NA,48,103,NA,47,103,NA,45,96,NA,44,96
"43","852",6,49,118,6,49,118,6,49,118,6,49,118,6,49,118
"44","4415",1,61,143,1,61,141,1,60,141,1,60,140,1,59,140
"45","3180",1,51,136,1,51,122,1,51,122,1,51,115,1,51,115
"46","2957",1,51,130,1,38,70,1,36,70,1,31,60,1,29,60
"47","3582",1,57,143,NA,54,121,NA,54,121,NA,54,118,NA,53,118
"48","1170",5,45,116,5,45,112,5,45,112,5,44,112,5,44,112
"49","2226",NA,25,80,NA,25,80,NA,25,80,NA,25,80,NA,25,80
"50","621",6,50,130,6,50,130,6,50,130,6,50,130,6,50,130
"51","4355",3,52,144,3,49,112,3,48,112,3,49,108,3,47,108
"52","1885",5,61,142,5,60,138,5,59,138,5,60,136,5,59,136
"53","3811",4,62,163,2,48,86,2,46,86,2,45,78,2,43,78
"54","3913",5,61,160,5,59,145,5,59,145,5,58,142,5,58,142
"55","4009",3,45,123,3,43,93,3,43,93,3,41,92,3,41,92
"56","4131",4,59,137,4,58,127,4,58,127,3,57,124,3,57,124
"57","2074",4,63,145,4,62,141,4,61,141,4,62,139,4,61,139
"58","493",6,35,87,6,35,87,6,35,87,6,35,87,6,35,87
"59","4361",5,62,164,5,62,159,5,61,159,5,61,157,5,60,157
"60","3027",NA,40,132,NA,40,132,NA,40,132,NA,40,132,NA,40,132
"61","1258",5,54,133,5,54,133,5,54,133,5,54,133,5,54,133
"62","1156",6,62,137,6,62,136,6,62,136,6,62,135,6,62,135
"63","3856",1,57,144,NA,52,106,NA,51,106,NA,46,102,NA,45,102
"64","4555",2,48,116,2,48,115,2,48,115,2,48,115,2,48,115
"65","624",2,15,47,2,15,47,2,15,47,2,15,47,2,15,47
"66","2320",5,66,152,5,65,147,5,64,147,5,65,146,5,64,146
"67","573",6,49,129,6,49,129,6,49,129,6,49,129,6,49,129
"68","306",3,17,62,3,17,62,3,17,62,3,17,62,3,17,62
"69","239",5,28,79,5,28,79,5,28,79,5,28,79,5,28,79
"70","3748",4,56,122,4,56,122,4,56,122,4,56,122,4,56,122
"71","1333",5,58,137,5,58,137,5,58,137,5,58,137,5,58,137
"72","1307",4,38,88,4,38,88,4,38,88,4,38,88,4,38,88
"73","3152",4,66,120,4,66,117,4,65,117,4,66,116,4,65,116
"74","240",5,30,83,5,30,83,5,30,83,5,30,83,5,30,83
"75","1608",5,60,139,5,60,139,5,60,139,5,60,139,5,60,139
"76","2477",NA,34,92,NA,34,91,NA,34,91,NA,34,91,NA,34,91
"77","233",4,12,54,4,12,54,4,12,54,4,12,54,4,12,54
"78","2069",4,61,145,4,60,140,4,59,140,4,60,139,4,59,139
"79","3134",2,67,157,2,67,154,2,67,154,2,67,153,2,66,153
"80","1606",5,60,142,5,60,142,5,60,142,5,60,141,5,60,141
"81","126",1,6,23,1,6,23,1,6,23,1,6,23,1,6,23
"82","165",1,6,25,1,6,25,1,6,25,1,6,25,1,6,25
"83","428",6,43,98,6,43,98,6,43,98,6,43,98,6,43,98
"84","4732",NA,11,34,NA,11,34,NA,11,34,NA,11,34,NA,11,34
"85","75",1,2,7,1,2,7,1,2,7,1,2,7,1,2,7
"86","2895",1,55,141,1,55,135,1,54,135,1,54,135,1,53,135
"87","2105",4,59,114,4,59,114,4,59,114,4,59,114,4,59,114
"88","1798",5,39,100,5,39,100,5,39,100,5,39,100,5,39,100
"89","4189",4,57,144,4,57,140,4,57,140,4,56,138,4,56,138
"90","4685",3,56,149,3,55,146,3,55,146,3,55,145,3,55,145
"91","1805",3,46,118,3,46,118,3,46,118,3,46,118,3,46,118
"92","1677",5,60,139,5,60,139,5,60,139,5,60,139,5,60,139
"93","4081",2,51,133,NA,48,106,NA,47,106,NA,48,103,NA,47,103
"94","4249",6,59,149,6,59,143,6,59,143,6,58,142,6,58,142
"95","117",1,5,13,1,5,13,1,5,13,1,5,13,1,5,13
"96","3195",1,59,139,1,51,99,1,49,99,1,49,83,1,47,83
"97","2690",5,69,141,5,69,140,5,69,140,5,69,140,5,69,140
"98","1300",5,40,114,5,40,114,5,40,114,5,40,114,5,40,114
"99","1048",4,40,90,4,40,90,4,40,90,4,40,90,4,40,90
