"","grid","START top","START intermediate","START basal","AFTER PRIMMARY EXTINCTIONS top","AFTER PRIMMARY EXTINCTIONS intermediate","AFTER PRIMMARY EXTINCTIONS basal","AFTER SECONDARY EXTINCTIONS top","AFTER SECONDARY EXTINCTIONS intermediate","AFTER SECONDARY EXTINCTIONS basal","FUTURE AFTER PRIMMARY EXTINCTIONS top","FUTURE AFTER PRIMMARY EXTINCTIONS intermediate","FUTURE AFTER PRIMMARY EXTINCTIONS basal","FUTURE AFTER SECONDARY EXTINCTIONS top","FUTURE AFTER SECONDARY EXTINCTIONS intermediate","FUTURE AFTER SECONDARY EXTINCTIONS basal"
"1","1863",2,42,110,0,0,0,0,0,0,0,0,0,0,0,0
"2","1887",5,62,147,0,0.0483870967741935,0.054421768707483,0,0.0338983050847458,0,0,0.0483870967741935,0.0612244897959184,0,0.0338983050847458,0
"3","136",1,6,24,0,0,0,0,0,0,0,0,0,0,0,0
"4","4138",5,60,146,0,0,0.0342465753424658,0,0,0,0,0.0166666666666667,0.0479452054794521,0,0,0
"5","3564",7,64,140,0,0,0,0,0,0,0,0,0,0,0,0
"6","2736",1,58,148,0,0,0.027027027027027,0,0,0,0,0,0.0337837837837838,0,0,0
"7","2218",5,62,139,0,0,0.0143884892086331,0,0,0,0,0,0.0143884892086331,0,0,0
"8","1163",6,62,145,0,0,0.00689655172413793,0,0,0,0,0,0.00689655172413793,0,0,0
"9","1655",4,35,100,0,0,0,0,0,0,0,0,0,0,0,0
"10","510",6,43,100,0,0,0,0,0,0,0,0,0,0,0,0
"11","2392",6,63,151,0,0,0,0,0,0,0,0,0.00662251655629139,0,0,0
"12","4211",NA,20,32,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"13","2939",5,65,99,0,0,0,0,0,0,0,0,0,0,0,0
"14","560",6,47,107,0,0,0,0,0,0,0,0,0,0,0,0
"15","3612",2,66,152,0,0,0.0131578947368421,0,0.0303030303030303,0,0,0,0.0263157894736842,0,0.0303030303030303,0
"16","1287",5,63,143,0,0,0.013986013986014,0,0,0,0,0,0.013986013986014,0,0,0
"17","1448",4,44,96,0,0,0,0,0,0,0,0,0,0,0,0
"18","1980",6,60,148,0,0,0.00675675675675676,0,0,0,0,0,0.00675675675675676,0,0,0
"19","2673",6,67,148,0,0,0.0135135135135135,0,0.0149253731343284,0,0,0,0.0135135135135135,0,0.0149253731343284,0
"20","4394",1,50,137,0,0,0,0,0,0,0,0,0.0072992700729927,0,0,0
"21","2681",5,62,153,0,0,0,0,0,0,0,0,0.0065359477124183,0,0,0
"22","1685",5,61,140,0,0,0,0,0,0,0,0,0,0,0,0
"23","2099",6,64,143,0,0,0.00699300699300699,0,0,0,0,0,0.00699300699300699,0,0,0
"24","2857",5,60,104,0,0,0,0,0,0,0,0,0,0,0,0
"25","2335",5,64,150,0,0,0.02,0,0,0,0,0,0.0266666666666667,0,0,0
"26","4600",NA,17,25,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"27","4571",2,49,123,0,0,0.016260162601626,0,0,0,0,0,0.016260162601626,0,0,0
"28","1599",3,47,137,0,0,0,0,0,0,0,0,0.0072992700729927,0,0,0
"29","997",6,47,117,0,0,0.0256410256410256,0,0,0,0,0,0.0256410256410256,0,0,0
"30","3367",6,68,164,0,0,0.0609756097560976,0,0.0147058823529412,0,0,0,0.0670731707317073,0,0.0147058823529412,0.0065359477124183
"31","3116",2,58,140,0,0.0344827586206897,0.2,0,0.0178571428571429,0,0,0.0862068965517241,0.228571428571429,0,0.0188679245283019,0
"32","3935",2,61,156,0,0.0163934426229508,0.0641025641025641,0,0.0166666666666667,0.00684931506849315,0,0.0327868852459016,0.0769230769230769,0,0.0169491525423729,0.00694444444444444
"33","4026",3,61,154,0.333333333333333,0.0327868852459016,0.12987012987013,0,0.0169491525423729,0,0.666666666666667,0.0655737704918033,0.181818181818182,0,0.0175438596491228,0
"34","3770",5,52,134,0,0,0.0447761194029851,0,0,0,0,0.0192307692307692,0.0522388059701493,0,0,0
"35","2092",6,59,153,0,0,0.0130718954248366,0,0,0,0,0,0.0130718954248366,0,0,0
"36","4022",2,54,133,0.5,0.037037037037037,0.135338345864662,0,0,0,NA,0.0555555555555556,0.165413533834586,NA,0,0
"37","148",1,2,8,0,0,0,0,0,0,0,0,0,0,0,0
"38","231",1,7,30,0,0,0,0,0,0,0,0,0,0,0,0
"39","1669",1,36,89,0,0,0,0,0,0,0,0,0,0,0,0
