"","grid","START AVERAGE trophic height","AFTER PRIMMARY EXTINCTIONS average TH","AFTER PRIMMARY EXTINCTIONS average TH of remaining species","AFTER PRIMMARY EXTINCTIONS average TH of extinct species","AFTER SECONDARY EXTINCTIONS average TH","AFTER SECONDARY EXTINCTIONS average TH of remaining species","AFTER SECONDARY EXTINCTIONS average TH of extinct species","FUTURE - AFTER PRIMMARY EXTINCTIONS average TH","FUTURE - AFTER PRIMMARY EXTINCTIONS average TH of remaining species","FUTURE - AFTER PRIMMARY EXTINCTIONS average TH of extinct species","FUTURE - AFTER SECONDARY EXTINCTIONS average TH","FUTURE - AFTER SECONDARY EXTINCTIONS average TH of remaining species","FUTURE - AFTER SECONDARY EXTINCTIONS average TH of extinct species"
"1","1863",1.31767158233325,1.31767158233325,1.31767158233325,NA,1.31767158233325,1.31767158233325,NA,1.31767158233325,1.31767158233325,NA,1.31767158233325,1.31767158233325,NA
"2","1887",1.35365180193499,1.35171331240237,1.35171331240237,1.38942574512784,1.34516615608394,1.34516615608394,2.00970252240538,1.35345446741427,1.34689198686436,1,1.34689198686436,1.34689198686436,2.00970252240538
"3","136",1.25138925989951,1.25138925989951,1.25138925989951,NA,1.25138925989951,1.25138925989951,NA,1.25138925989951,1.25138925989951,NA,1.25138925989951,1.25138925989951,NA
"4","4138",1.33193355445462,1.33999019412585,1.33999019412585,1,1.33999019412585,1.33999019412585,NA,1.33905290982446,1.33905290982446,1.4034130985203,1.33905290982446,1.33905290982446,NA
"5","3564",1.36298341775623,1.36298341775623,1.36298341775623,NA,1.36298341775623,1.36298341775623,NA,1.36298341775623,1.36298341775623,NA,1.36298341775623,1.36298341775623,NA
"6","2736",1.3087527046591,1.31483650179524,1.31483650179524,1,1.31483650179524,1.31483650179524,NA,1.31639509833878,1.31639509833878,0.999999999999992,1.31639509833878,1.31639509833878,NA
"7","2218",1.35798692603513,1.36149660178057,1.36149660178057,1,1.36149660178057,1.36149660178057,NA,1.36149660178057,1.36149660178057,NA,1.36149660178057,1.36149660178057,NA
"8","1163",1.34614477794014,1.34777753632665,1.34777753632665,1.00000000000001,1.34777753632665,1.34777753632665,NA,1.34777753632665,1.34777753632665,NA,1.34777753632665,1.34777753632665,NA
"9","1655",1.31840963435476,1.31840963435476,1.31840963435476,NA,1.31840963435476,1.31840963435476,NA,1.31840963435476,1.31840963435476,NA,1.31840963435476,1.31840963435476,NA
"10","510",1.37194686674021,1.37194686674021,1.37194686674021,NA,1.37194686674021,1.37194686674021,NA,1.37194686674021,1.37194686674021,NA,1.37194686674021,1.37194686674021,NA
"11","2392",1.34678783565538,1.34678783565538,1.34678783565538,NA,1.34678783565538,1.34678783565538,NA,1.34837134175427,1.34837134175427,1,1.34837134175427,1.34837134175427,NA
"12","4211",1.4237968229507,1.4237968229507,1.4237968229507,NA,1.4237968229507,1.4237968229507,NA,1.4237968229507,1.4237968229507,NA,1.4237968229507,1.4237968229507,NA
"13","2939",1.44725702673252,1.44725702673252,1.44725702673252,NA,1.44725702673252,1.44725702673252,NA,1.44725702673252,1.44725702673252,NA,1.44725702673252,1.44725702673252,NA
"14","560",1.3724554341833,1.3724554341833,1.3724554341833,NA,1.3724554341833,1.3724554341833,NA,1.3724554341833,1.3724554341833,NA,1.3724554341833,1.3724554341833,NA
"15","3612",1.33700505592359,1.34009684542748,1.34009684542748,1,1.33345851589577,1.33345851589577,2.05703643485215,1.34324589029255,1.33657495062376,1,1.33657495062376,1.33657495062376,2.05703643485215
"16","1287",1.35867048830276,1.36210274177935,1.36210274177935,1,1.36210274177935,1.36210274177935,NA,1.36210274177935,1.36210274177935,NA,1.36210274177935,1.36210274177935,NA
"17","1448",1.36421451969899,1.36421451969899,1.36421451969899,NA,1.36421451969899,1.36421451969899,NA,1.36421451969899,1.36421451969899,NA,1.36421451969899,1.36421451969899,NA
"18","1980",1.33441282064004,1.33598283388248,1.33598283388248,0.999999999999997,1.33598283388248,1.33598283388248,NA,1.33598283388248,1.33598283388248,NA,1.33598283388248,1.33598283388248,NA
"19","2673",1.3627006665614,1.36601300141584,1.36601300141584,1,1.3630157902076,1.3630157902076,2.01940504481077,1.36601300141584,1.3630157902076,NA,1.3630157902076,1.3630157902076,2.01940504481077
"20","4394",1.3031967892097,1.3031967892097,1.3031967892097,NA,1.3031967892097,1.3031967892097,NA,1.30481816241403,1.30481816241403,1,1.30481816241403,1.30481816241403,NA
"21","2681",1.33618239320173,1.33618239320173,1.33618239320173,NA,1.33618239320173,1.33618239320173,NA,1.33771747262274,1.33771747262274,1,1.33771747262274,1.33771747262274,NA
"22","1685",1.35269805603833,1.35269805603833,1.35269805603833,NA,1.35269805603833,1.35269805603833,NA,1.35269805603833,1.35269805603833,NA,1.35269805603833,1.35269805603833,NA
"23","2099",1.35726410966141,1.35894931772585,1.35894931772585,0.999999999999997,1.35894931772585,1.35894931772585,NA,1.35894931772585,1.35894931772585,NA,1.35894931772585,1.35894931772585,NA
"24","2857",1.42420952360086,1.42420952360086,1.42420952360086,NA,1.42420952360086,1.42420952360086,NA,1.42420952360086,1.42420952360086,NA,1.42420952360086,1.42420952360086,NA
"25","2335",1.34265585073151,1.34741495976945,1.34741495976945,1,1.34741495976945,1.34741495976945,NA,1.34903084330326,1.34903084330326,1.00000000000001,1.34903084330326,1.34903084330326,NA
"26","4600",1.42584792742903,1.42584792742903,1.42584792742903,NA,1.42584792742903,1.42584792742903,NA,1.42584792742903,1.42584792742903,NA,1.42584792742903,1.42584792742903,NA
"27","4571",1.31851363802959,1.32221728498342,1.32221728498342,1,1.32221728498342,1.32221728498342,NA,1.32221728498342,1.32221728498342,NA,1.32221728498342,1.32221728498342,NA
"28","1599",1.29097812598812,1.29097812598812,1.29097812598812,NA,1.29097812598812,1.29097812598812,NA,1.29254252451493,1.29254252451493,1,1.29254252451493,1.29254252451493,NA
"29","997",1.34885523674489,1.35512209728521,1.35512209728521,1,1.35512209728521,1.35512209728521,NA,1.35512209728521,1.35512209728521,NA,1.35512209728521,1.35512209728521,NA
"30","3367",1.34146930196631,1.35644602573676,1.35644602573676,1,1.35352550142366,1.35352550142366,2.01940504481077,1.35801627254618,1.35508977355386,0.999999999999992,1.35222350588076,1.35222350588076,2.00970252240538
"31","3116",1.3257797532367,1.36519121615585,1.36519121615585,1.10244813002818,1.36143495116269,1.36143495116269,2,1.36069070897346,1.35674435532515,1.46998874054591,1.35674435532515,1.35674435532515,2
"32","3935",1.31615199200522,1.32760874242428,1.32760874242428,1.0995152568085,1.32098647271573,1.32098647271573,2.00970252240538,1.32747894859505,1.32075753407475,1.33647798742139,1.32075753407475,1.32075753407475,2.00970252240538
"33","4026",1.32157211461703,1.33737436952386,1.33737436952386,1.1875964751895,1.33395877349048,1.33395877349048,2,1.34115825466396,1.33755802654737,1.2740802908168,1.33755802654737,1.33755802654737,2
"34","3770",1.32434630715708,1.33486564684866,1.33486564684866,1,1.33486564684866,1.33486564684866,NA,1.33191205121006,1.33191205121006,1.60511964778045,1.33191205121006,1.33191205121006,NA
