"","grid","START AVERAGE trophic height","AFTER PRIMMARY EXTINCTIONS average TH","AFTER PRIMMARY EXTINCTIONS average TH of remaining species","AFTER PRIMMARY EXTINCTIONS average TH of extinct species","AFTER SECONDARY EXTINCTIONS average TH","AFTER SECONDARY EXTINCTIONS average TH of remaining species","AFTER SECONDARY EXTINCTIONS average TH of extinct species","FUTURE - AFTER PRIMMARY EXTINCTIONS average TH","FUTURE - AFTER PRIMMARY EXTINCTIONS average TH of remaining species","FUTURE - AFTER PRIMMARY EXTINCTIONS average TH of extinct species","FUTURE - AFTER SECONDARY EXTINCTIONS average TH","FUTURE - AFTER SECONDARY EXTINCTIONS average TH of remaining species","FUTURE - AFTER SECONDARY EXTINCTIONS average TH of extinct species"
"1","1863",1.30271009559098,1.30271009559098,1.30271009559098,NA,1.30271009559098,1.30271009559098,NA,1.30271009559098,1.30271009559098,NA,1.30271009559098,1.30271009559098,NA
"2","1887",1.33321654970401,1.33513741384791,1.33513741384791,1.2977678750485,1.32847350353559,1.32847350353559,2.00486040023573,1.33679650995607,1.33011587105327,0.999999999999998,1.33011587105327,1.33011587105327,2.00486040023573
"3","136",1.24663019428132,1.24663019428132,1.24663019428132,NA,1.24663019428132,1.24663019428132,NA,1.24663019428132,1.24663019428132,NA,1.24663019428132,1.24663019428132,NA
"4","4138",1.32564085007469,1.33354475420272,1.33354475420272,1,1.33354475420272,1.33354475420272,NA,1.33251758728775,1.33251758728775,1.40304971544854,1.33251758728775,1.33251758728775,NA
"5","3564",1.35647932660994,1.35647932660994,1.35647932660994,NA,1.35647932660994,1.35647932660994,NA,1.35647932660994,1.35647932660994,NA,1.35647932660994,1.35647932660994,NA
"6","2736",1.30229458101206,1.30825112448028,1.30825112448028,1,1.30825112448028,1.30825112448028,NA,1.30977712014602,1.30977712014602,0.999999999999984,1.30977712014602,1.30977712014602,NA
"7","2218",1.34651684949911,1.34991407351381,1.34991407351381,1,1.34991407351381,1.34991407351381,NA,1.34991407351381,1.34991407351381,NA,1.34991407351381,1.34991407351381,NA
"8","1163",1.33985669139122,1.34145978899212,1.34145978899212,1,1.34145978899212,1.34145978899212,NA,1.34145978899212,1.34145978899212,NA,1.34145978899212,1.34145978899212,NA
"9","1655",1.30200131581169,1.30200131581169,1.30200131581169,NA,1.30200131581169,1.30200131581169,NA,1.30200131581169,1.30200131581169,NA,1.30200131581169,1.30200131581169,NA
"10","510",1.3556739462246,1.3556739462246,1.3556739462246,NA,1.3556739462246,1.3556739462246,NA,1.3556739462246,1.3556739462246,NA,1.3556739462246,1.3556739462246,NA
"11","2392",1.3357768381293,1.3357768381293,1.3357768381293,NA,1.3357768381293,1.3357768381293,NA,1.33731006570066,1.33731006570066,1.00000000000001,1.33731006570066,1.33731006570066,NA
"12","4211",1.40223957955803,1.40223957955803,1.40223957955803,NA,1.40223957955803,1.40223957955803,NA,1.40223957955803,1.40223957955803,NA,1.40223957955803,1.40223957955803,NA
"13","2939",1.43919839868764,1.43919839868764,1.43919839868764,NA,1.43919839868764,1.43919839868764,NA,1.43919839868764,1.43919839868764,NA,1.43919839868764,1.43919839868764,NA
"14","560",1.357441507452,1.357441507452,1.357441507452,NA,1.357441507452,1.357441507452,NA,1.357441507452,1.357441507452,NA,1.357441507452,1.357441507452,NA
"15","3612",1.32625265591872,1.329245799551,1.329245799551,1,1.32255370184883,1.32255370184883,2.05199235138488,1.33229437176907,1.32556822242686,1,1.32556822242686,1.32556822242686,2.05199235138488
"16","1287",1.34284812076824,1.34612896402918,1.34612896402918,1.00000000000001,1.34612896402918,1.34612896402918,NA,1.34612896402918,1.34612896402918,NA,1.34612896402918,1.34612896402918,NA
"17","1448",1.35558110569063,1.35558110569063,1.35558110569063,NA,1.35558110569063,1.35558110569063,NA,1.35558110569063,1.35558110569063,NA,1.35558110569063,1.35558110569063,NA
"18","1980",1.32809004703074,1.32963037589004,1.32963037589004,0.999999999999997,1.32963037589004,1.32963037589004,NA,1.32963037589004,1.32963037589004,NA,1.32963037589004,1.32963037589004,NA
