"","grid","START number of interactions","AFTER PRIMMARY EXTINCTIONS","AFTER SECONDARY EXTINCTIONS","FUTURE - AFTER PRIMMARY EXTINCTIONS","FUTURE - AFTER SECONDARY EXTINCTIONS"
"1","1863",1320,1320,1320,1320,1320
"2","1887",2696,2430,2422,2398,2390
"3","136",79,79,79,79,79
"4","4138",2674,2522,2522,2487,2487
"5","3564",2632,2632,2632,2632,2632
"6","2736",2265,2168,2168,2152,2152
"7","2218",2380,2361,2361,2361,2361
"8","1163",2745,2731,2731,2731,2731
"9","1655",1127,1127,1127,1127,1127
"10","510",1861,1861,1861,1861,1861
"11","2392",3060,3060,3060,3049,3049
"12","4211",260,260,260,260,260
"13","2939",1902,1902,1902,1902,1902
"14","560",1951,1951,1951,1951,1951
"15","3612",2565,2488,2481,2476,2469
"16","1287",2824,2797,2797,2797,2797
"17","1448",1393,1393,1393,1393,1393
"18","1980",2477,2473,2473,2473,2473
"19","2673",2966,2915,2911,2915,2911
"20","4394",1905,1905,1905,1902,1902
"21","2681",2989,2989,2989,2978,2978
"22","1685",2778,2778,2778,2778,2778
"23","2099",2602,2598,2598,2598,2598
"24","2857",1923,1923,1923,1923,1923
"25","2335",2913,2870,2870,2832,2832
"26","4600",191,191,191,191,191
"27","4571",1933,1927,1927,1927,1927
"28","1599",1783,1783,1783,1778,1778
"29","997",1959,1882,1882,1882,1882
"30","3367",3353,3148,3145,3131,3123
"31","3116",2491,2007,2001,1871,1865
"32","3935",2610,2456,2448,2426,2418
"33","4026",2895,2468,2462,2296,2290
"34","3770",2248,2076,2076,2053,2053
"35","2092",2730,2717,2717,2717,2717
"36","4022",2067,1747,1747,1654,1654
"37","148",10,10,10,10,10
"38","231",137,137,137,137,137
"39","1669",838,838,838,838,838
"40","3456",2632,2520,2520,2456,2456
"41","2739",2191,2075,2075,2061,2061
"42","3804",2058,1619,1613,1383,1377
"43","852",2145,2145,2145,2145,2145
"44","4415",2295,2257,2252,2238,2233
"45","3180",2195,1977,1977,1943,1943
"46","2957",2023,941,934,619,609
"47","3582",2188,1833,1833,1816,1810
"48","1170",1724,1640,1640,1587,1587
"49","2226",355,355,355,355,355
"50","621",2297,2297,2297,2297,2297
"51","4355",2455,1955,1951,1893,1882
"52","1885",2503,2380,2378,2348,2346
"53","3811",2877,1508,1496,1337,1326
"54","3913",2991,2582,2582,2512,2512
"55","4009",2009,1604,1604,1530,1530
"56","4131",2860,2659,2659,2529,2529
"57","2074",2522,2402,2400,2369,2367
"58","493",1307,1307,1307,1307,1307
"59","4361",3041,2948,2943,2924,2919
"60","3027",1356,1356,1356,1356,1356
"61","1258",2482,2482,2482,2482,2482
"62","1156",2754,2742,2742,2705,2705
"63","3856",2468,1765,1759,1586,1580
"64","4555",1589,1586,1586,1586,1586
"65","624",273,273,273,273,273
