"","grid","START","AFTER PRIMMARY EXTINCTIONS","AFTER SECONDARY EXTINCTIONS","FUTURE AFTER PRIMMARY EXTINCTIONS","FUTURE AFTER SECONDARY EXTINCTIONS"
"1","1863",1320,0,0,0,0
"2","1887",2696,0.0986646884272997,0.00329218106995885,0.11053412462908,0.00333611342785655
"3","136",79,0,0,0,0
"4","4138",2674,0.0568436798803291,0,0.0699326851159312,0
"5","3564",2632,0,0,0,0
"6","2736",2265,0.0428256070640177,0,0.0498896247240618,0
"7","2218",2380,0.00798319327731092,0,0.00798319327731092,0
"8","1163",2745,0.00510018214936248,0,0.00510018214936248,0
"9","1655",1127,0,0,0,0
"10","510",1861,0,0,0,0
"11","2392",3060,0,0,0.00359477124183007,0
"12","4211",260,0,0,0,0
"13","2939",1902,0,0,0,0
"14","560",1951,0,0,0,0
"15","3612",2565,0.0300194931773879,0.00281350482315113,0.0346978557504873,0.00282714054927302
"16","1287",2824,0.00956090651558074,0,0.00956090651558074,0
"17","1448",1393,0,0,0,0
"18","1980",2477,0.00161485668146952,0,0.00161485668146952,0
"19","2673",2966,0.0171948752528658,0.00137221269296741,0.0171948752528658,0.00137221269296741
"20","4394",1905,0,0,0.0015748031496063,0
"21","2681",2989,0,0,0.00368016058882569,0
"22","1685",2778,0,0,0,0
"23","2099",2602,0.00153727901614143,0,0.00153727901614143,0
"24","2857",1923,0,0,0,0
"25","2335",2913,0.0147614143494679,0,0.0278063851699279,0
"26","4600",191,0,0,0,0
"27","4571",1933,0.00310398344542162,0,0.00310398344542162,0
"28","1599",1783,0,0,0.00280426247896803,0
"29","997",1959,0.0393057682491067,0,0.0393057682491067,0
"30","3367",3353,0.0611392782582762,0.000952986022871665,0.0662093647479869,0.00255509421909933
"31","3116",2491,0.194299478121236,0.00298953662182362,0.248896025692493,0.00320684126135756
"32","3935",2610,0.0590038314176245,0.00325732899022801,0.0704980842911877,0.00329760923330585
"33","4026",2895,0.147495682210708,0.00243111831442464,0.206908462867012,0.00261324041811847
"34","3770",2248,0.0765124555160142,0,0.0867437722419929,0
"35","2092",2730,0.00476190476190476,0,0.00476190476190476,0
"36","4022",2067,0.1548137397194,0,0.199806482825351,0
"37","148",10,0,0,0,0
"38","231",137,0,0,0,0
"39","1669",838,0,0,0,0
"40","3456",2632,0.0425531914893617,0,0.0668693009118541,0
"41","2739",2191,0.0529438612505705,0,0.059333637608398,0
"42","3804",2058,0.213313896987366,0.00370599135268684,0.32798833819242,0.00433839479392625
"43","852",2145,0,0,0,0
"44","4415",2295,0.016557734204793,0.00221533008418254,0.0248366013071895,0.00223413762287757
"45","3180",2195,0.0993166287015945,0,0.114806378132118,0
"46","2957",2023,0.534849233811172,0.00743889479277365,0.694018783984182,0.0161550888529887
"47","3582",2188,0.162248628884826,0,0.170018281535649,0.00330396475770925
"48","1170",1724,0.0487238979118329,0,0.0794663573085847,0
"49","2226",355,0,0,0,0
"50","621",2297,0,0,0,0
"51","4355",2455,0.203665987780041,0.0020460358056266,0.228920570264766,0.00581088219756999
"52","1885",2503,0.0491410307630843,0.000840336134453782,0.0619256891729924,0.000851788756388416
"53","3811",2877,0.475842891901286,0.00795755968169761,0.535279805352798,0.00822737471952132
"54","3913",2991,0.13674356402541,0,0.160147107990639,0
