"","SPECIES","NUMBER OF SQUARE GRIDS AT START","NUMBER OF GRIDS WHERE IT IS PRESENT AFTER START TO PRIMARY EXTINCTIONS","NUMBER OF GRIDS WHERE IT IS PRESENT AFTER PRIMARY TO SECONDARY EXTINCTIONS","NUMBER OF GRIDS WHERE IT IS PRESENT AFTER SECONDARY TO PRIMARY FUTURE","NUMBER OF GRIDS WHERE IT IS PRESENT AFTER PRIMARY FUTURE TO SECONDARY FUTURE"
"1","Accipiter nisus",495,495,495,495,495
"2","Acrocephalus schoenobaenus",401,401,401,401,401
"3","Actitis hypoleucos",472,471,471,469,469
"4","Aegithalos caudatus",434,434,434,434,434
"5","Alauda arvensis",507,499,499,497,497
"6","Alcedo atthis",379,379,379,379,379
"7","Anas crecca",494,494,494,494,494
"8","Anas platyrhynchos",497,497,497,497,497
"9","Anser anser",231,231,231,231,231
"10","Anser brachyrhynchus",12,12,12,12,12
"11","Anthus petrosus",79,79,79,79,79
"12","Anthus pratensis",443,437,437,433,433
"13","Anthus trivialis",427,419,419,412,412
"14","Apodemus sylvaticus",271,271,271,271,271
"15","Apus apus",497,479,479,471,471
"16","Aquila chrysaetos",363,362,362,361,361
"17","Ardea cinerea",397,397,397,397,397
"18","Arenaria interpres",97,97,97,97,97
"19","Arvicola amphibius",416,416,416,416,416
"20","Asio flammeus",395,395,395,395,395
"21","Asio otus",438,438,438,438,438
"22","Aythya ferina",396,396,396,396,396
"23","Aythya fuligula",411,411,411,411,411
"24","Aythya marila",137,137,137,137,137
"25","Bucephala clangula",306,306,306,306,306
"26","Buteo buteo",459,456,456,453,453
"27","Calidris alpina",167,167,167,167,167
"28","Calidris canutus",31,31,31,31,31
"29","Calidris maritima",83,82,82,81,81
"30","Capreolus capreolus",346,326,326,316,316
"31","Carduelis carduelis",424,424,424,424,424
"32","Certhia familiaris",362,356,356,350,350
"33","Cervus elaphus",217,158,158,148,148
"34","Charadrius hiaticula",175,175,175,175,175
"35","Cinclus cinclus",304,303,303,302,302
"36","Circus cyaneus",436,433,433,431,431
"37","Clangula hyemalis",99,99,99,99,99
"38","Columba livia",398,398,398,398,398
"39","Columba palumbus",482,478,478,474,474
"40","Corvus corax",475,475,475,475,475
"41","Corvus corone",515,505,505,497,497
"42","Corvus frugilegus",362,362,362,361,361
"43","Corvus monedula",403,402,402,400,400
"44","Coturnix coturnix",412,412,412,412,412
"45","Cuculus canorus",500,500,500,500,500
"46","Cygnus cygnus",202,202,202,202,202
"47","Cygnus olor",224,224,224,224,224
"48","Dama dama",230,176,176,163,163
"49","Delichon urbicum",499,499,499,499,499
"50","Dendrocopos major",461,460,403,459,388
"51","Emberiza citrinella",468,468,468,468,468
"52","Emberiza schoeniclus",508,508,508,508,508
"53","Eremophila alpestris",153,152,152,152,152
"54","Erinaceus europaeus",228,228,228,227,227
"55","Erithacus rubecula",490,490,490,490,490
"56","Falco columbarius",438,434,434,432,432
"57","Falco peregrinus",438,437,437,434,434
"58","Falco tinnunculus",490,490,490,490,490
"59","Felis silvestris",125,125,125,125,125
"60","Fringilla coelebs",494,494,494,494,494
"61","Fringilla montifringilla",373,373,373,373,373
"62","Fulica atra",408,408,408,408,408
"63","Gallinago gallinago",452,451,451,450,450
"64","Gallinula chloropus",411,411,411,411,411
"65","Haliaeetus albicilla",279,279,279,279,279
"66","Hirundo rustica",494,494,494,493,493
"67","Lagopus lagopus",195,194,194,194,194
"68","Lagopus muta",71,69,69,67,67
"69","Lanius excubitor",417,417,417,417,417
"70","Lepus europaeus",359,359,359,359,359
"71","Lepus timidus",256,256,256,256,256
"72","Limosa lapponica",55,55,55,55,55
"73","Locustella naevia",307,276,276,270,270
"74","Loxia curvirostra",336,336,336,336,336
"75","Loxia scotica",3,3,3,3,3
"76","Lutra lutra",416,402,402,396,396
"77","Lymnocryptes minimus",235,235,235,234,234
"78","Martes martes",420,418,418,416,416
"79","Melanitta fusca",124,124,124,124,124
"80","Melanitta nigra",138,138,138,138,138
"81","Meles meles",406,402,402,398,398
"82","Mergus serrator",182,182,175,182,175
"83","Microtus agrestis",355,355,355,355,355
"84","Milvus milvus",161,159,159,156,156
"85","Motacilla alba",529,529,529,529,529
"86","Motacilla cinerea",291,282,282,274,274
"87","Muscicapa striata",489,483,483,481,481
"88","Mustela erminea",423,423,423,423,423
"89","Mustela nivalis",507,507,507,507,507
"90","Myodes glareolus",385,385,385,385,385
"91","Myotis daubentonii",384,375,375,368,368
"92","Myotis nattereri",311,245,245,231,231
"93","Neomys fodiens",398,353,353,345,345
"94","Numenius arquata",377,377,377,377,377
"95","Numenius phaeopus",155,155,155,155,155
"96","Oenanthe oenanthe",497,496,496,493,493
"97","Oryctolagus cuniculus",169,169,169,169,169
"98","Pandion haliaetus",240,240,240,240,240
"99","Parus major",496,496,492,496,489
"100","Passer domesticus",481,481,481,481,481
"101","Passer montanus",464,464,464,464,464
"102","Perdix perdix",362,360,360,359,359
"103","Phalaropus lobatus",61,61,61,61,61
"104","Phasianus colchicus",280,280,280,280,280
"105","Phoenicurus phoenicurus",461,460,460,460,460
"106","Phylloscopus collybita",428,417,417,410,410
"107","Phylloscopus sibilatrix",344,343,343,341,341
"108","Phylloscopus trochilus",369,369,369,369,369
"109","Pica pica",496,496,496,496,496
"110","Pipistrellus pipistrellus",318,245,245,236,236
"111","Pipistrellus pygmaeus",140,112,112,110,110
"112","Plecotus auritus",361,359,359,356,356
"113","Plectrophenax nivalis",225,224,224,223,223
"114","Pluvialis apricaria",219,216,216,216,216
"115","Pluvialis squatarola",68,68,68,68,68
"116","Porzana porzana",309,309,309,308,308
"117","Prunella modularis",444,444,444,444,444
"118","Pyrrhula pyrrhula",480,480,480,480,480
"119","Rallus aquaticus",384,383,383,382,382
"120","Regulus regulus",451,444,444,442,442
"121","Riparia riparia",468,462,462,458,458
"122","Saxicola rubetra",418,398,398,392,392
"123","Sciurus vulgaris",425,425,425,425,425
"124","Scolopax rusticola",434,434,434,434,434
"125","Somateria mollissima",75,75,75,75,75
"126","Sorex araneus",374,251,251,239,239
"127","Sorex minutus",459,241,241,233,233
"128","Stercorarius parasiticus",73,73,73,73,73
"129","Stercorarius pomarinus",39,38,38,38,38
"130","Sterna hirundo",355,354,354,353,353
"131","Sterna paradisaea",101,101,101,101,101
"132","Streptopelia decaocto",371,371,371,371,371
"133","Strix aluco",400,400,400,400,400
"134","Sturnus vulgaris",496,496,496,496,496
"135","Sylvia atricapilla",440,440,440,440,440
"136","Sylvia borin",416,416,416,416,416
"137","Sylvia communis",451,443,443,441,441
"138","Sylvia curruca",378,367,367,359,359
"139","Tadorna tadorna",186,186,186,186,186
"140","Talpa europaea",303,189,189,173,173
"141","Tetrao urogallus",254,254,254,253,253
"142","Tringa glareola",249,249,249,249,249
"143","Tringa nebularia",201,201,201,201,201
"144","Tringa totanus",432,432,432,432,432
"145","Troglodytes troglodytes",441,418,418,409,409
