"","SPECIES","GRIDS LOST FROM START TO PRIMARY EXTINCTIONS","GRIDS LOST FROM PRIMARY TO SECONDARY EXTINCTIONS","GRIDS LOST FROM START TO PRIMARY FUTURE","GRIDS LOST FROM PRIMARY FUTURE TO SECONDARY FUTURE"
"1","Accipiter nisus",1,0,1,0
"2","Acrocephalus schoenobaenus",8,0,11,0
"3","Actitis hypoleucos",10,0,24,0
"4","Aegithalos caudatus",3,0,6,0
"5","Alauda arvensis",54,0,88,0
"6","Alcedo atthis",0,0,0,0
"7","Anas crecca",0,0,0,0
"8","Anas platyrhynchos",0,0,0,0
"9","Anser anser",4,0,10,0
"10","Anser brachyrhynchus",0,0,0,0
"11","Anthus petrosus",8,0,11,0
"12","Anthus pratensis",48,0,78,0
"13","Anthus trivialis",76,0,126,0
"14","Apodemus sylvaticus",0,0,1,0
"15","Apus apus",136,0,207,0
"16","Aquila chrysaetos",4,0,6,0
"17","Ardea cinerea",0,0,1,0
"18","Arenaria interpres",5,0,8,0
"19","Arvicola amphibius",0,0,0,0
"20","Asio flammeus",0,0,0,0
"21","Asio otus",0,0,0,0
"22","Aythya ferina",0,0,0,0
"23","Aythya fuligula",0,0,0,0
"24","Aythya marila",0,0,0,0
"25","Bucephala clangula",3,0,6,0
"26","Buteo buteo",26,0,42,0
"27","Calidris alpina",1,0,1,0
"28","Calidris canutus",4,0,5,0
"29","Calidris maritima",13,0,21,0
"30","Capreolus capreolus",155,0,229,0
"31","Carduelis carduelis",0,0,0,0
"32","Certhia familiaris",47,0,78,0
"33","Cervus elaphus",439,0,503,0
"34","Charadrius hiaticula",0,0,1,0
"35","Cinclus cinclus",11,0,19,0
"36","Circus cyaneus",30,0,45,0
"37","Clangula hyemalis",0,0,0,0
"38","Columba livia",0,0,0,0
"39","Columba palumbus",32,0,50,0
"40","Corvus corax",0,0,0,0
"41","Corvus corone",80,0,129,0
"42","Corvus frugilegus",3,0,10,0
"43","Corvus monedula",14,0,24,0
"44","Coturnix coturnix",0,0,1,0
"45","Cuculus canorus",0,0,0,0
"46","Cygnus cygnus",19,0,35,0
"47","Cygnus olor",0,0,0,0
"48","Dama dama",443,0,539,0
"49","Delichon urbicum",2,0,4,0
"50","Dendrocopos major",10,468,20,547
"51","Emberiza citrinella",3,0,6,0
"52","Emberiza schoeniclus",3,0,9,0
"53","Eremophila alpestris",39,0,50,0
"54","Erinaceus europaeus",4,0,10,0
"55","Erithacus rubecula",0,0,0,0
"56","Falco columbarius",33,0,50,0
"57","Falco peregrinus",13,0,28,0
"58","Falco tinnunculus",0,0,1,0
"59","Felis silvestris",0,0,0,0
"60","Fringilla coelebs",0,0,0,0
