"","SPECIES","INTERACTIONS AS PREDATOR AT START","INTERACTIONS AS PREY AT START","INTERACTIONS AS PREDATOR AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY FUTURE EXTINCTIONS"
"1","Accipiter nisus",286509,19726,276765,19678,276733,19678,274848,19652,274793,19652
"2","Acrocephalus schoenobaenus",0,23943,0,23701,0,23701,0,23599,0,23599
"3","Actitis hypoleucos",0,40613,0,40479,0,40479,0,40355,0,40355
"4","Aegithalos caudatus",0,25353,0,24817,0,24817,0,24685,0,24685
"5","Alauda arvensis",0,104592,0,102391,0,102391,0,101320,0,101320
"6","Alcedo atthis",0,5702,0,5698,0,5698,0,5696,0,5696
"7","Anas crecca",0,49164,0,48760,0,48760,0,48538,0,48538
"8","Anas platyrhynchos",0,41973,0,41736,0,41736,0,41601,0,41601
"9","Anser anser",0,11093,0,11063,0,11063,0,11035,0,11035
"10","Anser brachyrhynchus",0,231,0,225,0,225,0,219,0,219
"11","Anthus petrosus",0,11327,0,11024,0,11024,0,10919,0,10919
"12","Anthus pratensis",0,82453,0,80450,0,80450,0,79507,0,79507
"13","Anthus trivialis",0,84891,0,82536,0,82536,0,81273,0,81273
"14","Apodemus sylvaticus",0,80394,0,78610,0,78610,0,77953,0,77953
"15","Apus apus",0,11287,0,10826,0,10826,0,10604,0,10604
"16","Aquila chrysaetos",148225,0,144328,0,144288,0,143627,0,143571,0
"17","Ardea cinerea",52138,10960,45153,10928,45153,10928,44382,10899,44382,10899
"18","Arenaria interpres",0,6774,0,6724,0,6724,0,6699,0,6699
"19","Arvicola amphibius",0,149978,0,148430,0,148430,0,147853,0,147853
"20","Asio flammeus",196840,23135,191704,23078,191704,23078,190546,23047,190546,23047
"21","Asio otus",326951,13136,311569,13090,311531,13090,308360,13064,308299,13064
"22","Aythya ferina",0,38459,0,38167,0,38167,0,38001,0,38001
"23","Aythya fuligula",0,35066,0,34806,0,34806,0,34654,0,34654
"24","Aythya marila",0,10882,0,10840,0,10840,0,10810,0,10810
"25","Bucephala clangula",0,18892,0,18829,0,18829,0,18776,0,18776
"26","Buteo buteo",197833,3190,188699,3179,188122,3179,186970,3172,186284,3172
"27","Calidris alpina",0,13311,0,13223,0,13223,0,13177,0,13177
"28","Calidris canutus",0,1772,0,1737,0,1737,0,1726,0,1726
"29","Calidris maritima",0,5192,0,5085,0,5085,0,5020,0,5020
"30","Capreolus capreolus",0,4119,0,4065,0,4065,0,4043,0,4043
"31","Carduelis carduelis",0,94951,0,92805,0,92805,0,92124,0,92124
"32","Certhia familiaris",0,16265,0,15840,0,15840,0,15644,0,15644
"33","Cervus elaphus",0,1209,0,1135,0,1135,0,1108,0,1108
