"","SPECIES","INTERACTIONS LOST FROM START TO PRIMARY EXTINCTIONS AS PREDATOR","INTERACTIONS LOST FROM START TO PRIMARY EXTINCTIONS AS PREY","INTERACTIONS LOST FROM PRIMARY TO SECONDARY EXTINCTIONS AS PREDATOR","INTERACTIONS LOST FROM PRIMARY TO SECONDARY EXTINCTIONS AS PREY","INTERACTIONS LOST FROM START TO PRIMARY FUTURE AS PREDATOR","INTERACTIONS LOST FROM START TO PRIMARY FUTURE AS PREY","INTERACTIONS LOST FROM PRIMARY FUTURE TO SECONDARY FUTURE AS PREDATOR","INTERACTIONS LOST FROM PRIMARY FUTURE TO SECONDARY FUTURE AS PREY"
"1","Accipiter nisus",9744,48,32,0,11661,74,55,0
"2","Acrocephalus schoenobaenus",0,242,0,0,0,344,0,0
"3","Actitis hypoleucos",0,134,0,0,0,258,0,0
"4","Aegithalos caudatus",0,536,0,0,0,668,0,0
"5","Alauda arvensis",0,2201,0,0,0,3272,0,0
"6","Alcedo atthis",0,4,0,0,0,6,0,0
"7","Anas crecca",0,404,0,0,0,626,0,0
"8","Anas platyrhynchos",0,237,0,0,0,372,0,0
"9","Anser anser",0,30,0,0,0,58,0,0
"10","Anser brachyrhynchus",0,6,0,0,0,12,0,0
"11","Anthus petrosus",0,303,0,0,0,408,0,0
"12","Anthus pratensis",0,2003,0,0,0,2946,0,0
"13","Anthus trivialis",0,2355,0,0,0,3618,0,0
"14","Apodemus sylvaticus",0,1784,0,0,0,2441,0,0
"15","Apus apus",0,461,0,0,0,683,0,0
"16","Aquila chrysaetos",3897,0,40,0,4598,0,56,0
"17","Ardea cinerea",6985,32,0,0,7756,61,0,0
"18","Arenaria interpres",0,50,0,0,0,75,0,0
"19","Arvicola amphibius",0,1548,0,0,0,2125,0,0
"20","Asio flammeus",5136,57,0,0,6294,88,0,0
"21","Asio otus",15382,46,38,0,18591,72,61,0
"22","Aythya ferina",0,292,0,0,0,458,0,0
"23","Aythya fuligula",0,260,0,0,0,412,0,0
"24","Aythya marila",0,42,0,0,0,72,0,0
"25","Bucephala clangula",0,63,0,0,0,116,0,0
"26","Buteo buteo",9134,11,577,0,10863,18,686,0
"27","Calidris alpina",0,88,0,0,0,134,0,0
"28","Calidris canutus",0,35,0,0,0,46,0,0
"29","Calidris maritima",0,107,0,0,0,172,0,0
"30","Capreolus capreolus",0,54,0,0,0,76,0,0
"31","Carduelis carduelis",0,2146,0,0,0,2827,0,0
