ID,species,class
1,Alces alces,Mammals
2,Allactaga elater,Mammals
3,Allactaga major,Mammals
4,Allocricetulus eversmanni,Mammals
5,Apodemus agrarius,Mammals
6,Apodemus alpicola,Mammals
7,Apodemus epimelas,Mammals
8,Apodemus flavicollis,Mammals
9,Apodemus mystacinus,Mammals
10,Apodemus sylvaticus,Mammals
11,Apodemus uralensis,Mammals
12,Apodemus witherbyi,Mammals
13,Arvicola amphibius,Mammals
14,Arvicola sapidus,Mammals
15,Arvicola scherman,Mammals
16,Atelerix algirus,Mammals
17,Barbastella barbastellus,Mammals
18,Bison bonasus,Mammals
19,Canis aureus,Mammals
20,Canis lupus,Mammals
21,Capra ibex,Mammals
22,Capra pyrenaica,Mammals
23,Capreolus capreolus,Mammals
24,Capreolus pygargus,Mammals
25,Castor fiber,Mammals
26,Cervus elaphus,Mammals
27,Chionomys nivalis,Mammals
28,Cricetulus migratorius,Mammals
29,Cricetus cricetus,Mammals
30,Crocidura leucodon,Mammals
31,Crocidura pachyura,Mammals
32,Crocidura russula,Mammals
33,Crocidura sicula,Mammals
34,Crocidura suaveolens,Mammals
35,Crocidura zimmermanni,Mammals
36,Dama dama,Mammals
37,Desmana moschata,Mammals
38,Dicrostonyx torquatus,Mammals
39,Dinaromys bogdanovi,Mammals
40,Diplomesodon pulchellum,Mammals
41,Dipus sagitta,Mammals
42,Dryomys nitedula,Mammals
43,Eliomys quercinus,Mammals
44,Ellobius talpinus,Mammals
45,Eptesicus bottae,Mammals
46,Eptesicus nilssonii,Mammals
47,Eptesicus serotinus,Mammals
48,Erinaceus concolor,Mammals
49,Erinaceus europaeus,Mammals
50,Erinaceus roumanicus,Mammals
51,Eutamias sibiricus,Mammals
52,Felis chaus,Mammals
53,Felis silvestris,Mammals
54,Galemys pyrenaicus,Mammals
55,Genetta genetta,Mammals
56,Glis glis,Mammals
57,Gulo gulo,Mammals
58,Hemiechinus auritus,Mammals
59,Herpestes ichneumon,Mammals
60,Hypsugo savii,Mammals
61,Hystrix cristata,Mammals
62,Lagurus lagurus,Mammals
63,Lemmus lemmus,Mammals
64,Lemmus sibiricus,Mammals
65,Lepus capensis,Mammals
66,Lepus castroviejoi,Mammals
67,Lepus corsicanus,Mammals
68,Lepus europaeus,Mammals
69,Lepus granatensis,Mammals
70,Lepus timidus,Mammals
71,Lutra lutra,Mammals
72,Lynx lynx,Mammals
73,Lynx pardinus,Mammals
74,Marmota bobak,Mammals
75,Marmota marmota,Mammals
76,Martes foina,Mammals
77,Martes martes,Mammals
78,Martes zibellina,Mammals
79,Meles meles,Mammals
80,Meriones meridianus,Mammals
81,Meriones tamariscinus,Mammals
82,Meriones tristrami,Mammals
83,Mesocricetus newtoni,Mammals
84,Mesocricetus raddei,Mammals
85,Micromys minutus,Mammals
86,Microtus agrestis,Mammals
87,Microtus arvalis,Mammals
88,Microtus bavaricus,Mammals
89,Microtus brachycercus,Mammals
90,Microtus cabrerae,Mammals
91,Microtus duodecimcostatus,Mammals
92,Microtus felteni,Mammals
93,Microtus gerbei,Mammals
94,Microtus gregalis,Mammals
95,Microtus guentheri,Mammals
96,Microtus levis,Mammals
97,Microtus liechtensteini,Mammals
98,Microtus lusitanicus,Mammals
99,Microtus middendorffii,Mammals
100,Microtus multiplex,Mammals
101,Microtus oeconomus,Mammals
102,Microtus savii,Mammals
103,Microtus socialis,Mammals
104,Microtus subterraneus,Mammals
105,Microtus tatricus,Mammals
106,Microtus thomasi,Mammals
107,Miniopterus schreibersii,Mammals
108,Mus macedonicus,Mammals
109,Mus musculus,Mammals
110,Mus spicilegus,Mammals
111,Mus spretus,Mammals
112,Muscardinus avellanarius,Mammals
113,Mustela erminea,Mammals
114,Mustela eversmanii,Mammals
115,Mustela lutreola,Mammals
116,Mustela nivalis,Mammals
117,Mustela putorius,Mammals
118,Mustela sibirica,Mammals
119,Myodes glareolus,Mammals
120,Myodes rufocanus,Mammals
121,Myodes rutilus,Mammals
122,Myomimus roachi,Mammals
123,Myopus schisticolor,Mammals
124,Myotis alcathoe,Mammals
125,Myotis aurascens,Mammals
126,Myotis bechsteinii,Mammals
127,Myotis blythii,Mammals
128,Myotis brandtii,Mammals
129,Myotis capaccinii,Mammals
130,Myotis dasycneme,Mammals
131,Myotis daubentonii,Mammals
132,Myotis emarginatus,Mammals
133,Myotis escalerai,Mammals
134,Myotis myotis,Mammals
135,Myotis mystacinus,Mammals
136,Myotis nattereri,Mammals
137,Myotis punicus,Mammals
138,Nannospalax leucodon,Mammals
139,Neomys anomalus,Mammals
140,Neomys fodiens,Mammals
141,Nyctalus lasiopterus,Mammals
142,Nyctalus leisleri,Mammals
143,Nyctalus noctula,Mammals
144,Oryctolagus cuniculus,Mammals
145,Pipistrellus kuhlii,Mammals
146,Pipistrellus nathusii,Mammals
147,Pipistrellus pipistrellus,Mammals
148,Pipistrellus pygmaeus,Mammals
149,Plecotus auritus,Mammals
150,Plecotus austriacus,Mammals
151,Plecotus kolombatovici,Mammals
152,Plecotus macrobullaris,Mammals
153,Plecotus sardus,Mammals
154,Pteromys volans,Mammals
155,Pygeretmus pumilio,Mammals
156,Rangifer tarandus,Mammals
157,Rattus norvegicus,Mammals
158,Rattus rattus,Mammals
159,Rhinolophus blasii,Mammals
160,Rhinolophus euryale,Mammals
161,Rhinolophus ferrumequinum,Mammals
162,Rhinolophus hipposideros,Mammals
163,Rhinolophus mehelyi,Mammals
164,Rousettus aegyptiacus,Mammals
165,Rupicapra pyrenaica,Mammals
166,Rupicapra rupicapra,Mammals
167,Saiga tatarica,Mammals
168,Sciurus anomalus,Mammals
169,Sciurus vulgaris,Mammals
170,Sicista betulina,Mammals
171,Sicista severtzovi,Mammals
172,Sicista strandi,Mammals
173,Sicista subtilis,Mammals
174,Sorex alpinus,Mammals
175,Sorex antinorii,Mammals
176,Sorex araneus,Mammals
177,Sorex caecutiens,Mammals
178,Sorex coronatus,Mammals
179,Sorex granarius,Mammals
180,Sorex isodon,Mammals
181,Sorex minutissimus,Mammals
182,Sorex minutus,Mammals
183,Sorex samniticus,Mammals
184,Sorex tundrensis,Mammals
185,Spalax arenarius,Mammals
186,Spalax giganteus,Mammals
187,Spalax graecus,Mammals
188,Spalax microphthalmus,Mammals
189,Spalax zemni,Mammals
190,Spermophilus citellus,Mammals
191,Spermophilus fulvus,Mammals
192,Spermophilus major,Mammals
193,Spermophilus pygmaeus,Mammals
194,Spermophilus suslicus,Mammals
195,Stylodipus telum,Mammals
196,Suncus etruscus,Mammals
197,Sus scrofa,Mammals
198,Tadarida teniotis,Mammals
199,Talpa caeca,Mammals
200,Talpa europaea,Mammals
201,Talpa levantis,Mammals
202,Talpa occidentalis,Mammals
203,Talpa romana,Mammals
204,Talpa stankovici,Mammals
205,Ursus arctos,Mammals
206,Ursus maritimus,Mammals
207,Vespertilio murinus,Mammals
208,Vormela peregusna,Mammals
209,Vulpes corsac,Mammals
210,Vulpes lagopus,Mammals
211,Vulpes vulpes,Mammals
212,Acanthis flammea,Birds
213,Accipiter brevipes,Birds
214,Accipiter gentilis,Birds
215,Accipiter nisus,Birds
216,Acridotheres cristatellus,Birds
217,Acrocephalus agricola,Birds
218,Acrocephalus arundinaceus,Birds
219,Acrocephalus dumetorum,Birds
220,Acrocephalus melanopogon,Birds
221,Acrocephalus paludicola,Birds
222,Acrocephalus palustris,Birds
223,Acrocephalus schoenobaenus,Birds
224,Acrocephalus scirpaceus,Birds
225,Actitis hypoleucos,Birds
226,Aegithalos caudatus,Birds
227,Aegolius funereus,Birds
228,Aegypius monachus,Birds
229,Alauda arvensis,Birds
230,Alauda leucoptera,Birds
231,Alaudala rufescens,Birds
232,Alcedo atthis,Birds
233,Alectoris barbara,Birds
234,Alectoris chukar,Birds
235,Alectoris graeca,Birds
236,Alectoris rufa,Birds
237,Anas acuta,Birds
238,Anas crecca,Birds
239,Anas platyrhynchos,Birds
240,Anser albifrons,Birds
241,Anser anser,Birds
242,Anser brachyrhynchus,Birds
243,Anser erythropus,Birds
244,Anser fabalis,Birds
245,Anthropoides virgo,Birds
246,Anthus campestris,Birds
247,Anthus cervinus,Birds
248,Anthus gustavi,Birds
249,Anthus hodgsoni,Birds
